WTeam,LTeam,WLoc
Los Angeles Lakers,Phoenix Suns,H
Atlanta Hawks,Orlando Magic,H
Boston Celtics,Cleveland Cavaliers,H
Milwaukee Bucks,Houston Rockets,H
Denver Nuggets,Oklahoma City Thunder,V
Sacramento Kings,Los Angeles Clippers,H
Indiana Pacers,Houston Rockets,H
New Orleans Pelicans,Orlando Magic,V
Atlanta Hawks,Philadelphia 76ers,V
Miami Heat,Detroit Pistons,H
Washington Wizards,New York Knicks,V
Dallas Mavericks,Milwaukee Bucks,H
Charlotte Hornets,Denver Nuggets,V
Phoenix Suns,Oklahoma City Thunder,H
Utah Jazz,Minnesota Timberwolves,H
Golden State Warriors,Memphis Grizzlies,H
San Antonio Spurs,Los Angeles Lakers,V
Atlanta Hawks,New York Knicks,V
Milwaukee Bucks,Boston Celtics,H
Golden State Warriors,Phoenix Suns,V
Brooklyn Nets,Los Angeles Lakers,V
Utah Jazz,Dallas Mavericks,H
Miami Heat,Orlando Magic,H
Toronto Raptors,Cleveland Cavaliers,V
Memphis Grizzlies,Sacramento Kings,V
Washington Wizards,Philadelphia 76ers,H
Oklahoma City Thunder,New Orleans Pelicans,H
San Antonio Spurs,Detroit Pistons,H
Chicago Bulls,Indiana Pacers,H
Denver Nuggets,Los Angeles Clippers,V
Houston Rockets,Charlotte Hornets,V
Chicago Bulls,Atlanta Hawks,V
Minnesota Timberwolves,Boston Celtics,H
Utah Jazz,San Antonio Spurs,V
Memphis Grizzlies,Phoenix Suns,V
Dallas Mavericks,Portland Trail Blazers,V
Brooklyn Nets,Los Angeles Clippers,V
Milwaukee Bucks,Orlando Magic,V
Miami Heat,Washington Wizards,H
Philadelphia 76ers,Toronto Raptors,V
Los Angeles Lakers,Houston Rockets,V
New York Knicks,Minnesota Timberwolves,V
New Orleans Pelicans,Cleveland Cavaliers,H
Denver Nuggets,Golden State Warriors,V
Sacramento Kings,Oklahoma City Thunder,H
New York Knicks,Detroit Pistons,V
Charlotte Hornets,Indiana Pacers,V
Los Angeles Clippers,Boston Celtics,V
Chicago Bulls,Atlanta Hawks,H
Los Angeles Lakers,Memphis Grizzlies,V
Oklahoma City Thunder,Phoenix Suns,V
Utah Jazz,Portland Trail Blazers,V
Sacramento Kings,Dallas Mavericks,H
Philadelphia 76ers,Brooklyn Nets,V
Milwaukee Bucks,Orlando Magic,V
Cleveland Cavaliers,Washington Wizards,V
Boston Celtics,Phoenix Suns,H
Chicago Bulls,Indiana Pacers,V
Sacramento Kings,Dallas Mavericks,H
Miami Heat,Houston Rockets,V
Atlanta Hawks,Cleveland Cavaliers,V
Toronto Raptors,Los Angeles Clippers,H
Memphis Grizzlies,San Antonio Spurs,H
Oklahoma City Thunder,New York Knicks,H
Utah Jazz,Minnesota Timberwolves,H
